IP,RTTavg,Label
y.y.y.y,139.674,phish
y.y.y.y,145.723,phish
y.y.y.y,6.49,phish
y.y.y.y,108.196,phish
y.y.y.y,264.707,phish
y.y.y.y,139.127,phish
y.y.y.y,8.524,phish
y.y.y.y,139.218,phish
y.y.y.y,220.503,phish
y.y.y.y,7.222,phish
y.y.y.y,7.175,phish
y.y.y.y,263.909,phish
y.y.y.y,265.635,phish
y.y.y.y,139.713,phish
y.y.y.y,6.792,phish
y.y.y.y,264.056,phish
y.y.y.y,6.93,phish
y.y.y.y,141.023,phish
